rho,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2,17.75,17,16.25,19,20.25,22,24.25,25.5,27.5,30.3,31,29.75,29.3,25,21.5,22.6,20.6,22.5,21,21.8,23.5,21,22,20,20,17,18,20,22,16
1.9,17.25,16,16.25,18.75,18.25,20.5,21.75,23.75,25,26.6,28.3,30,30.25,27.5,23.3,21.6,21,25.3,23,22,23,22.3,21.6,21,20,18,20,24,21,22
1.8,19.75,18,17,18.25,20.25,18.25,21.25,22,23,22,23.5,25.5,27.6,28.3,30,27.2,23.3,22.5,25.25,22.6,24.75,23,26,24,23,21.5,22,23.8,22,23
1.7,22.75,19.25,18,18,17.5,19,19.25,19.25,21,21.75,22.75,23.25,24,25.75,26.6,27,28.3,27.5,28.3,25.25,27.3,24,23,25,22,21.5,22,22.7,21.6,21.6
1.6,24,21,19,18.5,18.5,19,19.25,20.5,19.25,20,21,20,21,22,24,23,24,25,27,26.5,27,27,28.3,26.25,24.5,24.75,25.25,26.5,26.3,25.75
1.5,25.5,23.6,22,21,20,19.25,19.25,19,18.25,18.5,20,21,22,20.5,23,23.5,23.25,22.3,23.75,24,25,24.75,24,25,26,27.5,28.3,28.25,29,29.25
1.4,27.5,25,24,21.5,22,21,20.25,19.25,18.75,18.25,18.5,19.25,19.25,20.75,21.75,20,21.5,20.75,20,20,21,21,21,22,22.25,22.5,23.25,25.25,24,24.5
1.3,29.5,27.3,25,23,24,23,22,22,21,20,20,19.5,20,20,21,20,20,22,20,20,21,20,20,20,21,20,20,21,22,21
1.2,30,29,29,28,27,24,22,23,22,23,21,23,22,21,21,21,21,20,21,20,20,21,22,20,20,20,21,20,20,21
1.1,30.7,29.5,30.2,28.8,27.6,28,25.5,24.5,25,24.4,23.8,22,22,24,22,22,23,22.3,21.6,22,23,22.5,22.6,23,24,25,23,24,22,23
1,31.8,30.5,30,29.6,28.4,27.1,27.4,26.8,27.6,27.6,27.2,26.6,26.6,25.5,25.2,24.2,25,25.3,26.2,25.7,26.8,27,24.7,27.6,25.2,27.2,26.2,25.6,26.6,25
0.9,24.2,24.6,24.8,24.8,24.2,25.2,25.8,25,25.2,25.8,26,26.2,27.4,28.2,29.2,29.6,30.6,29.2,28.6,29,31.4,30.6,28.6,27.4,31.2,32.2,28.2,30,32.8,31.4
0.8,25.2,26.2,28,30.1,31.6,32.6,33.4,33.25,34,35.2,36.4,35.2,35.4,36,37.2,38.8,39.2,39.4,42.2,48.8,49.8,50,50,49,50,50,50,50,50,50
0.7,29.5,30.2,31,33.4,34.8,35.6,35.6,37.4,39.6,40.6,40.8,42.2,45.6,46,48,50,50,50,50,48.2,48,40.8,42.6,28.4,0,0,0,0,0,0
0.6,33.6,37,38.8,36.8,39.2,38.3,37.2,35,41,45,50,50,50,50,50,50,48,41.2,23.4,0,0,0,0,0,0,0,0,0,0,0
0.5,35,38.8,40,42,41,42.5,41,48.8,50,50,45.6,42.2,33.6,31.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,37.25,38.2,42.6,45.4,48.4,48.8,50,50,15.4,14.6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,39.4,38,41.6,48.6,50,50,16.4,15,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,45,50,50,50,12.2,13.2,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,49.6,50,50,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0