f,0.2,0.4,0.6,0.8,1.0,1.2,1.4,1.6,1.8,2.0,2.2,2.4,2.6,2.8,3.0,3.2,3.4,3.6,3.8,4.0,4.2,4.4,4.6,4.8,
10.0,18.0,14.0,16.4,17.4,17.4,14.6,14.6,16.6,16.6,16.6,16.4,18.2,19.0,13.6,14.8,15.4,12.0,12.0,10.4,,,,,,
9.75,18.6,14.4,17.0,16.4,16.4,15.4,16.4,17.2,16.4,16.6,17.6,18.0,18.6,17.4,16.6,15.2,14.6,15.8,10.8,,,,,,
9.5,17.4,16.8,15.8,17.4,15.0,15.2,14.6,14.6,17.8,16.8,17.0,17.8,18.8,18.2,16.6,14.0,16.0,11.6,11.4,9.0,,,,,
9.25,17.4,17.0,16.4,16.2,16.0,15.0,13.4,15.6,16.6,16.0,16.4,18.2,17.8,17.6,15.8,15.4,15.0,12.6,13.0,9.6,8.0,,,,
9.0,19.0,15.6,13.6,16.8,16.0,16.0,15.6,15.8,16.0,16.8,15.6,17.6,18.2,18.8,16.4,17.4,12.8,13.8,10.8,9.8,9.0,,,,
8.75,16.6,15.6,16.8,14.8,15.6,12.8,15.0,13.2,15.2,16.6,17.2,17.2,18.4,18.8,17.4,16.0,16.8,14.0,12.8,11.0,9.4,,,,
8.5,17.6,14.0,16.0,15.6,16.2,14.8,15.4,15.6,12.2,17.0,17.0,17.2,17.0,18.8,17.0,16.4,12.4,12.8,13.8,9.2,8.4,7.6,,,
8.25,17.2,16.8,15.4,16.2,15.8,15.4,15.4,14.0,12.6,17.4,16.6,16.6,17.6,18.2,18.6,16.2,13.6,15.2,14.6,11.8,8.8,9.0,,,
8.0,19.0,16.2,14.0,17.4,14.0,16.0,15.8,12.0,14.8,16.4,15.2,17.2,17.8,16.8,18.8,16.6,14.8,15.2,13.0,13.0,9.0,7.6,,,
7.75,18.4,16.4,14.0,15.2,15.6,13.0,14.6,14.0,16.2,13.8,16.0,15.8,17.4,17.4,18.0,18.0,15.4,16.6,14.6,13.6,14.6,11.2,8.4,,
7.5,17.6,14.6,15.6,15.2,15.2,15.8,16.8,15.2,16.8,14.8,14.6,15.8,16.0,17.8,18.0,18.4,18.8,17.2,14.6,15.2,12.0,7.6,7.8,7.8,
7.25,16.8,16.4,12.8,15.8,15.2,14.8,14.2,14.0,12.8,15.8,15.8,16.4,16.2,17.6,17.4,18.6,18.2,17.8,17.0,13.8,12.0,10.2,9.6,8.8,
7.0,17.0,15.4,16.8,13.8,13.6,12.2,15.4,14.2,14.8,16.0,16.8,17.2,16.6,16.2,17.6,18.2,18.2,17.2,16.8,14.0,17.2,12.6,12.0,12.8,7.8
6.75,18.2,16.2,13.8,15.6,15.2,13.4,14.6,13.2,16.4,16.6,16.4,16.8,17.2,17.0,16.4,18.0,18.6,17.2,16.2,14.8,14.6,16.4,7.8,10.2,7.0
6.5,18.8,18.0,12.4,15.8,14.8,13.0,13.8,12.4,16.8,15.6,17.2,16.6,17.4,15.8,16.6,17.6,18.0,18.2,16.8,17.4,13.8,15.8,10.2,12.6,7.6
6.25,18.0,15.0,13.2,16.4,15.8,12.8,13.2,15.2,15.0,15.8,15.6,15.8,17.2,18.2,17.6,17.4,18.6,17.4,17.6,15.8,17.4,15.2,10.0,9.8,8.6
6.0,17.2,14.8,15.8,16.6,14.2,15.2,14.4,13.0,14.0,15.0,14.8,17.4,17.4,17.8,17.2,16.4,17.6,18.0,17.4,18.0,17.2,14.4,14.2,11.0,14.6
5.75,17.2,15.0,14.4,12.6,12.8,15.6,15.6,15.4,14.4,12.8,13.6,16.4,15.8,16.6,16.0,16.2,18.0,18.6,18.2,18.8,15.8,16.4,17.4,14.8,11.4
5.5,17.4,14.4,16.6,16.8,15.2,12.6,14.4,14.4,12.6,16.0,14.6,14.8,15.6,16.8,17.6,15.4,17.8,17.2,18.2,18.2,18.0,18.0,17.0,12.6,13.0
5.25,16.4,14.6,17.6,16.0,12.6,12.8,14.0,16.4,12.8,14.4,14.6,13.6,15.4,17.4,16.8,17.0,17.8,17.0,17.2,18.6,17.2,18.4,17.2,16.8,13.8
5.0,18.0,15.0,14.2,16.2,13.4,13.2,14.2,13.0,13.6,16.0,15.0,16.4,15.0,16.2,15.8,17.0,17.2,17.4,17.4,17.8,17.8,18.2,17.4,16.6,13.6
4.75,19.0,16.4,15.0,16.8,13.4,16.0,14.6,12.0,15.4,12.6,16.2,14.6,12.6,15.2,15.0,17.0,17.0,17.2,17.0,18.0,17.4,17.8,18.4,16.8,16.0
4.5,16.6,18.0,13.8,16.4,13.8,16.6,16.0,14.6,12.4,14.8,14.0,14.0,14.4,14.8,16.4,16.8,16.6,16.6,17.6,16.8,17.2,17.0,18.0,18.2,16.4
4.25,17.2,14.6,17.4,15.6,14.2,14.0,14.2,13.6,15.2,15.4,15.2,14.0,13.0,14.4,14.0,15.4,16.6,17.0,18.4,18.0,18.4,18.0,18.2,18.2,18.2
4.0,17.0,15.0,13.8,15.0,15.2,13.8,13.2,15.2,15.4,14.2,12.4,13.4,14.6,13.8,14.0,14.6,17.0,16.2,15.6,16.8,17.0,16.0,16.0,18.2,17.8
3.75,18.0,15.6,15.0,16.2,13.6,13.2,12.8,15.4,12.6,12.2,13.2,14.0,14.2,15.0,13.6,13.0,14.4,16.4,16.4,14.8,15.8,18.2,17.4,17.0,16.6
3.5,19.0,15.0,15.4,15.6,16.2,15.4,15.0,12.4,15.0,13.6,15.4,14.6,13.2,14.0,15.8,14.2,13.8,14.6,14.8,14.6,17.2,17.6,16.4,18.2,17.2
3.25,17.6,14.0,13.6,14.2,15.8,13.6,12.4,14.2,12.4,15.0,15.8,13.4,13.6,13.4,12.0,16.2,16.2,12.4,14.4,15.8,14.8,17.2,17.4,17.4,18.8
3.0,17.8,13.6,13.0,15.0,15.8,13.6,14.4,13.2,13.6,14.4,15.4,12.6,14.4,12.6,13.8,13.6,12.8,14.4,15.8,14.8,16.4,16.6,16.8,18.0,17.8
2.75,17.0,14.6,12.2,16.0,11.6,13.4,12.2,14.6,10.4,12.0,15.6,14.4,15.4,14.6,13.6,13.6,13.0,13.6,14.8,14.2,13.4,15.4,17.0,17.6,17.4
2.5,17.0,15.2,13.8,16.0,16.4,14.4,12.4,14.2,14.6,14.8,15.4,13.4,16.2,13.6,15.2,15.2,14.4,14.6,13.8,15.8,16.2,15.6,16.8,17.4,18.4
2.25,17.4,13.4,16.0,14.0,13.6,15.6,14.0,12.0,14.6,13.6,12.8,13.0,15.2,16.0,14.2,14.6,16.0,14.4,15.4,12.6,14.2,15.2,15.4,14.2,17.6
2.0,16.6,14.0,13.6,15.8,13.8,12.6,16.4,12.2,11.8,11.2,12.6,14.0,15.2,13.6,12.6,11.2,12.6,14.4,12.4,13.4,14.2,13.4,15.2,16.0,16.6
1.75,17.4,16.2,15.2,17.2,16.2,14.2,15.6,17.2,13.8,12.6,13.6,13.8,13.8,14.2,13.8,16.2,12.4,14.4,14.4,14.6,12.8,15.2,12.0,15.0,14.6
1.5,16.6,16.2,14.0,16.4,16.0,14.2,17.4,12.4,14.4,13.6,11.4,12.6,13.4,12.2,15.4,14.0,14.4,15.4,14.4,13.6,13.0,13.0,13.0,14.8,12.8
1.25,18.4,14.4,14.8,14.4,15.6,14.2,14.2,15.2,14.6,11.0,10.8,14.8,11.8,10.8,15.2,15.2,14.4,14.6,11.8,13.4,14.8,14.8,12.8,15.2,13.8
1.0,18.0,11.6,15.2,15.0,15.2,15.8,16.0,13.2,10.0,13.0,12.6,11.6,12.2,10.6,10.8,13.2,13.0,10.8,13.8,12.4,12.0,12.8,16.6,13.8,15.2
0.75,15.0,15.2,14.8,15.4,16.2,13.6,14.6,10.2,13.2,12.4,14.4,13.2,11.6,10.8,12.6,12.0,13.0,13.2,14.2,14.4,16.0,15.0,15.2,15.2,14.6
0.5,15.4,16.0,15.2,13.8,14.2,16.4,16.6,14.4,14.0,13.8,12.0,14.8,9.8,13.4,13.4,13.0,12.8,13.8,13.0,13.0,13.6,16.2,15.6,16.4,16.8
0.25,17.4,14.4,14.0,14.6,13.6,12.8,14.2,12.2,12.8,13.8,14.6,12.8,9.4,8.8,9.4,9.0,9.0,9.6,9.2,9.4,8.2,8.6,9.4,8.6,8.4
